,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
2366,12n_278,12n_278,K12n278,Success,N/A,,1
2367,12n_279,12n_279,K12n279,Success,N/A,,1
2368,12n_280,12n_280,K12n280,Success,N/A,,1
2369,12n_281,12n_281,K12n281,Fail,N/A,,
2370,12n_282,12n_282,K12n282,Fail,N/A,,
2371,12n_283,12n_283,K12n283,Success,N/A,,1
2372,12n_284,12n_284,K12n284,Success,N/A,,1
2373,12n_285,12n_285,K12n285,Fail,N/A,,
2374,12n_286,12n_286,K12n286,Fail,N/A,,
2375,12n_287,12n_287,K12n287,Fail,N/A,,
2376,12n_288,12n_288,K12n288,Success,N/A,,1
2377,12n_289,12n_289,K12n289,Fail,N/A,,
2378,12n_290,12n_290,K12n290,Success,N/A,,1
2379,12n_291,12n_291,K12n291,Success,N/A,,1
2380,12n_292,12n_292,K12n292,Success,N/A,,1
2381,12n_293,12n_293,K12n293,Fail,N/A,,
2382,12n_294,12n_294,K12n294,Success,N/A,,1
